what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371396394414
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1371396398103
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1371396405194
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371396405461
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371396405544
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1371396409202
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1371396410777
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1371396411826
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371396413404
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371396431444
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1371396435280
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371396436181
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371396439961
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1371396443198
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371396443804
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371396654452
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1371396666983
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371396668679
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371396832106
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371396838115
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371399052468
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371399054808
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371399056337
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371399056665
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1371399058162
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1371399058225
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1371399058240
